window,trial,session,subject,con,group,cohort,rater
CS3,7,E14,a,0,RET,summer15,SL
CS3,8,E14,a,0,RET,summer15,SL
CS3,9,E14,a,0,RET,summer15,SL
CS3,10,E14,a,0,RET,summer15,SL
CS3,11,E14,a,0,RET,summer15,SL
CS3,12,E14,a,0,RET,summer15,SL
CS4,1,E14,a,0,RET,summer15,SL
CS4,2,E14,a,1,RET,summer15,SL
CS4,3,E14,a,0,RET,summer15,SL
CS4,4,E14,a,0,RET,summer15,SL
CS4,5,E14,a,0,RET,summer15,SL
CS4,6,E14,a,0,RET,summer15,SL
CS4,7,E14,a,0,RET,summer15,SL
CS4,8,E14,a,0,RET,summer15,SL
CS4,9,E14,a,0,RET,summer15,SL
CS4,10,E14,a,0,RET,summer15,SL
CS4,11,E14,a,0,RET,summer15,SL
CS4,12,E14,a,0,RET,summer15,SL
CS3,1,E14,b,0,RET,summer15,SL
CS3,2,E14,b,1,RET,summer15,SL
CS3,3,E14,b,0,RET,summer15,SL
CS3,4,E14,b,0,RET,summer15,SL
CS3,5,E14,b,0,RET,summer15,SL
CS3,6,E14,b,0,RET,summer15,SL
CS3,7,E14,b,0,RET,summer15,SL
CS3,8,E14,b,0,RET,summer15,SL
CS3,9,E14,b,0,RET,summer15,SL
CS3,10,E14,b,0,RET,summer15,SL
CS3,11,E14,b,0,RET,summer15,SL
CS3,12,E14,b,0,RET,summer15,SL
CS4,1,E14,b,0,RET,summer15,SL
CS4,2,E14,b,0,RET,summer15,SL
CS4,3,E14,b,0,RET,summer15,SL
CS4,4,E14,b,0,RET,summer15,SL
CS4,5,E14,b,0,RET,summer15,SL
CS4,6,E14,b,0,RET,summer15,SL
CS4,7,E14,b,0,RET,summer15,SL
CS4,8,E14,b,0,RET,summer15,SL
CS4,9,E14,b,0,RET,summer15,SL
CS4,10,E14,b,0,RET,summer15,SL
CS4,11,E14,b,0,RET,summer15,SL
CS4,12,E14,b,0,RET,summer15,SL
CS3,1,E14,c,3,NORET,summer15,SL
CS3,2,E14,c,1,NORET,summer15,SL
CS3,3,E14,c,0,NORET,summer15,SL
CS3,4,E14,c,0,NORET,summer15,SL
CS3,5,E14,c,0,NORET,summer15,SL
CS3,6,E14,c,0,NORET,summer15,SL
CS3,7,E14,c,0,NORET,summer15,SL
CS3,8,E14,c,0,NORET,summer15,SL
CS3,9,E14,c,0,NORET,summer15,SL
CS3,10,E14,c,0,NORET,summer15,SL
CS3,11,E14,c,0,NORET,summer15,SL
CS3,12,E14,c,0,NORET,summer15,SL
CS4,1,E14,c,4,NORET,summer15,SL
CS4,2,E14,c,0,NORET,summer15,SL
CS4,3,E14,c,0,NORET,summer15,SL
CS4,4,E14,c,0,NORET,summer15,SL
CS4,5,E14,c,0,NORET,summer15,SL
CS4,6,E14,c,0,NORET,summer15,SL
CS4,7,E14,c,0,NORET,summer15,SL
CS4,8,E14,c,0,NORET,summer15,SL
CS4,9,E14,c,0,NORET,summer15,SL
CS4,10,E14,c,0,NORET,summer15,SL
CS4,11,E14,c,0,NORET,summer15,SL
CS4,12,E14,c,0,NORET,summer15,SL
CS3,1,E14,d,0,NORET,summer15,SL
CS3,2,E14,d,1,NORET,summer15,SL
CS3,3,E14,d,1,NORET,summer15,SL
CS3,4,E14,d,0,NORET,summer15,SL
CS3,5,E14,d,0,NORET,summer15,SL
CS3,6,E14,d,0,NORET,summer15,SL
CS3,7,E14,d,0,NORET,summer15,SL
CS3,8,E14,d,0,NORET,summer15,SL
CS3,9,E14,d,0,NORET,summer15,SL
CS3,10,E14,d,0,NORET,summer15,SL
CS3,11,E14,d,0,NORET,summer15,SL
CS3,12,E14,d,0,NORET,summer15,SL
CS4,1,E14,d,0,NORET,summer15,SL
CS4,2,E14,d,0,NORET,summer15,SL
CS4,3,E14,d,3,NORET,summer15,SL
CS4,4,E14,d,0,NORET,summer15,SL
CS4,5,E14,d,0,NORET,summer15,SL
CS4,6,E14,d,0,NORET,summer15,SL
CS4,7,E14,d,0,NORET,summer15,SL
CS4,8,E14,d,0,NORET,summer15,SL
CS4,9,E14,d,0,NORET,summer15,SL
CS4,10,E14,d,0,NORET,summer15,SL
CS4,11,E14,d,0,NORET,summer15,SL
CS4,12,E14,d,0,NORET,summer15,SL
CS3,1,E14,e,0,NORET,summer15,SL
CS3,2,E14,e,0,NORET,summer15,SL
CS3,3,E14,e,0,NORET,summer15,SL
CS3,4,E14,e,2,NORET,summer15,SL
CS3,5,E14,e,0,NORET,summer15,SL
CS3,6,E14,e,0,NORET,summer15,SL
CS3,7,E14,e,0,NORET,summer15,SL
CS3,8,E14,e,0,NORET,summer15,SL
CS3,9,E14,e,0,NORET,summer15,SL
CS3,10,E14,e,0,NORET,summer15,SL
CS3,11,E14,e,0,NORET,summer15,SL
CS3,12,E14,e,3,NORET,summer15,SL
CS4,1,E14,e,0,NORET,summer15,SL
CS4,2,E14,e,0,NORET,summer15,SL
CS4,3,E14,e,0,NORET,summer15,SL
CS4,4,E14,e,0,NORET,summer15,SL
CS4,5,E14,e,0,NORET,summer15,SL
CS4,6,E14,e,0,NORET,summer15,SL
CS4,7,E14,e,0,NORET,summer15,SL
CS4,8,E14,e,0,NORET,summer15,SL
CS4,9,E14,e,0,NORET,summer15,SL
CS4,10,E14,e,0,NORET,summer15,SL
