window,trial,session,subject,app,cohort,group,rater
preCS,2,10,b,0,summer15,RET,SL
preCS,3,10,b,0,summer15,RET,SL
preCS,4,10,b,0,summer15,RET,SL
preCS,5,10,b,0,summer15,RET,SL
preCS,6,10,b,0,summer15,RET,SL
preCS,7,10,b,0,summer15,RET,SL
preCS,8,10,b,0,summer15,RET,SL
CS1,1,10,b,1,summer15,RET,SL
CS1,2,10,b,2,summer15,RET,SL
CS1,3,10,b,3,summer15,RET,SL
CS1,4,10,b,3,summer15,RET,SL
CS1,5,10,b,3,summer15,RET,SL
CS1,6,10,b,2,summer15,RET,SL
CS1,7,10,b,2,summer15,RET,SL
CS1,8,10,b,2,summer15,RET,SL
CS2,1,10,b,2,summer15,RET,SL
CS2,2,10,b,4,summer15,RET,SL
CS2,3,10,b,3,summer15,RET,SL
CS2,4,10,b,3,summer15,RET,SL
CS2,5,10,b,1,summer15,RET,SL
CS2,6,10,b,4,summer15,RET,SL
CS2,7,10,b,4,summer15,RET,SL
CS2,8,10,b,2,summer15,RET,SL
preCS,1,11,b,0,summer15,RET,SL
preCS,2,11,b,0,summer15,RET,SL
preCS,3,11,b,0,summer15,RET,SL
preCS,4,11,b,0,summer15,RET,SL
preCS,5,11,b,0,summer15,RET,SL
preCS,6,11,b,0,summer15,RET,SL
preCS,7,11,b,0,summer15,RET,SL
preCS,8,11,b,0,summer15,RET,SL
CS1,1,11,b,0,summer15,RET,SL
CS1,2,11,b,3,summer15,RET,SL
CS1,3,11,b,3,summer15,RET,SL
CS1,4,11,b,4,summer15,RET,SL
CS1,5,11,b,3,summer15,RET,SL
CS1,6,11,b,2,summer15,RET,SL
CS1,7,11,b,0,summer15,RET,SL
CS1,8,11,b,0,summer15,RET,SL
CS2,1,11,b,0,summer15,RET,SL
CS2,2,11,b,4,summer15,RET,SL
CS2,3,11,b,4,summer15,RET,SL
CS2,4,11,b,4,summer15,RET,SL
CS2,5,11,b,3,summer15,RET,SL
CS2,6,11,b,4,summer15,RET,SL
CS2,7,11,b,0,summer15,RET,SL
CS2,8,11,b,0,summer15,RET,SL
preCS,1,12,b,0,summer15,RET,SL
preCS,2,12,b,0,summer15,RET,SL
preCS,3,12,b,0,summer15,RET,SL
preCS,4,12,b,0,summer15,RET,SL
preCS,5,12,b,0,summer15,RET,SL
preCS,6,12,b,0,summer15,RET,SL
preCS,7,12,b,0,summer15,RET,SL
preCS,8,12,b,0,summer15,RET,SL
CS1,1,12,b,1,summer15,RET,SL
CS1,2,12,b,4,summer15,RET,SL
CS1,3,12,b,3,summer15,RET,SL
CS1,4,12,b,0,summer15,RET,SL
CS1,5,12,b,0,summer15,RET,SL
CS1,6,12,b,0,summer15,RET,SL
CS1,7,12,b,0,summer15,RET,SL
CS1,8,12,b,0,summer15,RET,SL
CS2,1,12,b,2,summer15,RET,SL
CS2,2,12,b,3,summer15,RET,SL
CS2,3,12,b,4,summer15,RET,SL
CS2,4,12,b,2,summer15,RET,SL
CS2,5,12,b,4,summer15,RET,SL
CS2,6,12,b,0,summer15,RET,SL
CS2,7,12,b,0,summer15,RET,SL
